pick,chase_value,chase_normalized
1,1000.0,1.0
2,956.7084,0.9567084
3,917.6105,0.9176105
4,882.0993,0.8820992999999999
5,849.6806,0.8496806
6,819.9502,0.8199502
7,792.572,0.792572
8,767.2661,0.7672661000000001
9,743.7948,0.7437948
10,721.9568,0.7219568000000001
11,701.5795,0.7015795
12,682.5145,0.6825145
13,664.6333,0.6646333
14,647.8237,0.6478237
15,631.9882,0.6319882
16,617.0398,0.6170398
17,602.9034,0.6029034
18,589.5118,0.5895118
19,576.8036,0.5768036
20,564.7258,0.5647258000000001
21,553.2309,0.5532309
22,542.2755,0.5422754999999999
23,531.8212,0.5318212
24,521.8316,0.5218316
25,512.2757,0.5122757
26,503.1239,0.5031239
27,494.3513,0.4943513
28,485.9321,0.4859321
29,477.8452,0.47784519999999997
30,470.0694,0.47006939999999997
31,462.588,0.462588
32,455.382,0.455382
33,448.4372,0.44843720000000004
34,441.7376,0.4417376
35,435.2704,0.4352704
36,429.0234,0.4290234
37,422.9853,0.4229853
38,417.1439,0.41714389999999996
39,411.491,0.411491
40,406.0153,0.4060153
41,400.7098,0.40070979999999995
42,395.5655,0.39556549999999996
43,390.5756,0.3905756
44,385.7318,0.3857318
45,381.028,0.38102800000000003
46,376.4582,0.37645819999999997
47,372.0162,0.3720162
48,367.6962,0.3676962
49,363.4926,0.3634926
50,359.4019,0.3594019
51,355.4186,0.35541860000000003
52,351.5383,0.35153829999999997
53,347.757,0.347757
54,344.0705,0.3440705
55,340.4754,0.3404754
56,336.9682,0.33696820000000005
57,333.545,0.33354500000000004
58,330.2035,0.33020350000000004
59,326.94,0.32694
60,323.7522,0.3237522
61,320.637,0.320637
62,317.5914,0.3175914
63,314.614,0.31461399999999995
64,311.7024,0.3117024
65,308.8529,0.3088529
66,306.0647,0.3060647
67,303.3355,0.30333550000000004
68,300.6631,0.30066309999999996
69,298.0459,0.29804590000000003
70,295.4825,0.29548250000000004
71,292.9705,0.2929705
72,290.5085,0.2905085
73,288.0949,0.2880949
74,285.7282,0.2857282
75,283.407,0.28340699999999996
76,281.1304,0.2811304
77,278.8962,0.27889620000000004
78,276.7036,0.2767036
79,274.5519,0.2745519
80,272.4388,0.27243880000000004
81,270.3643,0.2703643
82,268.3268,0.2683268
83,266.325,0.266325
84,264.3587,0.2643587
85,262.4265,0.26242649999999995
86,260.5268,0.2605268
87,258.6604,0.25866039999999996
88,256.8243,0.2568243
89,255.0192,0.2550192
90,253.2444,0.25324440000000004
91,251.4976,0.2514976
92,249.7796,0.2497796
93,248.0895,0.2480895
94,246.426,0.24642599999999998
95,244.7882,0.24478819999999998
96,243.1768,0.2431768
97,241.5897,0.2415897
98,240.0269,0.24002690000000002
99,238.4882,0.2384882
100,236.9722,0.2369722
101,235.4797,0.23547970000000001
102,234.0084,0.2340084
103,232.5591,0.2325591
104,231.1309,0.2311309
105,229.7232,0.2297232
106,228.3359,0.2283359
107,226.9682,0.2269682
108,225.6195,0.2256195
109,224.2898,0.2242898
110,222.9789,0.2229789
111,221.6855,0.22168549999999998
112,220.4094,0.2204094
113,219.1515,0.2191515
114,217.9095,0.2179095
115,216.685,0.216685
116,215.4763,0.2154763
117,214.2835,0.21428350000000002
118,213.1058,0.21310579999999998
119,211.9441,0.2119441
120,210.7967,0.21079669999999998
121,209.6637,0.2096637
122,208.5458,0.2085458
123,207.4416,0.2074416
124,206.351,0.206351
125,205.274,0.205274
126,204.2099,0.2042099
127,203.1594,0.20315940000000002
128,202.121,0.20212100000000002
129,201.0955,0.20109549999999998
130,200.082,0.20008199999999998
131,199.0807,0.1990807
132,198.0915,0.1980915
133,197.1137,0.1971137
134,196.1472,0.1961472
135,195.1913,0.1951913
136,194.2468,0.1942468
137,193.3136,0.1933136
138,192.3902,0.19239019999999998
139,191.4775,0.1914775
140,190.5745,0.1905745
141,189.6822,0.1896822
142,188.7997,0.18879970000000001
143,187.9263,0.1879263
144,187.0628,0.1870628
145,186.2083,0.18620830000000002
146,185.3637,0.1853637
147,184.5273,0.1845273
148,183.7009,0.1837009
149,182.882,0.18288200000000002
150,182.0721,0.18207210000000001
151,181.2714,0.1812714
152,180.4782,0.18047819999999998
153,179.6934,0.1796934
154,178.9161,0.1789161
155,178.1471,0.1781471
156,177.3865,0.1773865
157,176.6327,0.1766327
158,175.8872,0.1758872
159,175.1485,0.1751485
160,174.4174,0.1744174
161,173.6931,0.1736931
162,172.9764,0.1729764
163,172.2664,0.17226640000000001
164,171.5633,0.1715633
